                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.6341,                0.42433,                      0,                0.71096,                0.40814,                      0,                0.61964,                0.59688,                0.62628,                0.43195,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005248,              0.0005248,              0.0005248
                     51,                0.62984,                0.41916,                      0,                0.71549,                0.40578,                      0,                0.65786,                0.52316,                0.62046,                0.40783,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005149,              0.0005149,              0.0005149
                     52,                0.61349,                0.41508,                      0,                0.68328,                0.39612,                      0,                0.72613,                0.54298,                0.59273,                0.39014,                      0,                      0,                      0,                      0,                      0,                      0,               0.000505,               0.000505,               0.000505
                     53,                0.61813,                0.41652,                      0,                0.69074,                0.40441,                      0,                0.60316,                0.51062,                0.58787,                0.38524,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004951,              0.0004951,              0.0004951
                     54,                0.65508,                0.42733,                      0,                0.71484,                0.40229,                      0,                0.65552,                0.60734,                 0.6349,                0.40652,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004852,              0.0004852,              0.0004852
                     55,                 0.6346,                0.42593,                      0,                 0.6993,                0.39757,                      0,                0.60851,                0.59214,                0.58046,                0.39048,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004753,              0.0004753,              0.0004753
                     56,                0.61407,                0.42011,                      0,                0.69866,                0.41055,                      0,                0.62583,                0.64164,                0.62577,                 0.3702,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004654,              0.0004654,              0.0004654
                     57,                0.59727,                0.40793,                      0,                0.67313,                0.38591,                      0,                0.70744,                 0.4969,                0.59945,                0.37159,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004555,              0.0004555,              0.0004555
                     58,                0.62893,                0.41929,                      0,                0.70222,                0.39132,                      0,                0.67587,                 0.5896,                0.62847,                0.42659,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004456,              0.0004456,              0.0004456
                     59,                0.61558,                0.40987,                      0,                0.67977,                0.38493,                      0,                0.74173,                0.60573,                0.62549,                0.42829,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004357,              0.0004357,              0.0004357
